ComplaintID,BuildingID,BoroughID,Borough,HouseNumber,StreetName,Zip,Block,Lot,Apartment,CommunityBoard,ReceivedDate,StatusID,Status,StatusDate
6241434,396124,3,BROOKLYN,1113,WILLOUGHBY AVENUE,11237,3197,52,1L,4,01/04/2013,2,CLOSE,01/09/2013
6244577,806084,1,MANHATTAN,49,WEST 225 STREET,10463,2215,116,30J,8,01/07/2013,2,CLOSE,02/20/2015
6246884,21365,1,MANHATTAN,196,ELDRIDGE STREET,10002,416,1,NA,3,01/08/2013,2,CLOSE,02/20/2015
6254837,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,5S,6,01/15/2013,2,CLOSE,02/24/2016
6257540,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,6T,6,01/16/2013,2,CLOSE,02/24/2016
6262031,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,NA,6,01/19/2013,2,CLOSE,02/24/2016
6262005,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,6T,6,01/19/2013,2,CLOSE,02/24/2016
6262087,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,4N,6,01/19/2013,2,CLOSE,02/24/2016
6263827,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,6T,6,01/20/2013,2,CLOSE,02/24/2016
6262877,5840,1,MANHATTAN,2340,AMSTERDAM AVENUE,10033,2132,47,1C,12,01/20/2013,2,CLOSE,02/20/2015
6264612,811659,4,QUEENS,34-41,LINDEN PLACE,11354,4951,8,7D,7,01/21/2013,2,CLOSE,02/20/2015
6275586,41400,1,MANHATTAN,120,WEST 140 STREET,10030,2008,13,BLDG,10,01/24/2013,2,CLOSE,02/20/2015
6283399,125070,2,BRONX,472,WILLIS AVENUE,10455,2291,1,5J,1,01/25/2013,2,CLOSE,02/20/2015
6289947,806084,1,MANHATTAN,49,WEST 225 STREET,10463,2215,116,30B,8,01/28/2013,2,CLOSE,02/20/2015
6294591,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,NA,6,01/30/2013,2,CLOSE,02/24/2016
6294505,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,5F,6,01/30/2013,2,CLOSE,02/24/2016
6294171,96838,2,BRONX,1493,MONTGOMERY AVENUE,10453,2877,233,BLDG,5,01/30/2013,2,CLOSE,02/20/2015
6298545,402146,4,QUEENS,34-05,12 STREET,11106,523,2,3G,1,02/01/2013,2,CLOSE,02/20/2015
6299758,43314,1,MANHATTAN,504,WEST 177 STREET,10033,2132,106,4C,12,02/01/2013,2,CLOSE,02/20/2015
6300442,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,NA,6,02/02/2013,2,CLOSE,02/24/2016
6305430,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,NA,6,02/04/2013,2,CLOSE,02/24/2016
6311387,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,6B,6,02/07/2013,2,CLOSE,02/24/2016
6311545,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,6T,6,02/07/2013,2,CLOSE,02/24/2016
6311741,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,NA,6,02/07/2013,2,CLOSE,02/24/2016
6312704,227189,3,BROOKLYN,38,COVERT STREET,11207,3420,26,BLDG,4,02/08/2013,2,CLOSE,02/14/2018
6313393,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,6N,6,02/08/2013,2,CLOSE,02/24/2016
6313806,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,5T,6,02/08/2013,2,CLOSE,02/24/2016
6313105,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,5N,6,02/08/2013,2,CLOSE,02/24/2016
6313227,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,6T,6,02/08/2013,2,CLOSE,02/24/2016
6313517,706059,4,QUEENS,68-12,YELLOWSTONE BOULEVARD,11375,2137,27,6B,6,02/08/2013,2,CLOSE,02/24/2016
6316242,811245,4,QUEENS,441,BEACH 51 STREET,11691,16001,2,5A,14,02/10/2013,2,CLOSE,02/20/2015
