"addr_pct_cd","boro_nm","cmplnt_fr_dt","cmplnt_fr_tm","cmplnt_num","cmplnt_to_dt","cmplnt_to_tm","crm_atpt_cptd_cd","hadevelopt","juris_desc","ky_cd","lat_lon_latitude","lat_lon_longitude","latitude","law_cat_cd","loc_of_occur_desc","longitude","ofns_desc","pd_cd","pd_desc","prem_typ_desc","rpt_dt","x_coord_cd","y_coord_cd"
6,"MANHATTAN","2016-01-25T00:00:00","12:00:00",881300600,"2018-03-25T00:00:00","01:00:00","COMPLETED",NULL,"N.Y. POLICE DEPT",361,40.730756883,-74.000769976,40.730756883,"MISDEMEANOR","INSIDE",-74.000769976,"OFF. AGNST PUB ORD SENSBLTY &",639.0,"AGGRAVATED HARASSMENT 2",NULL,"2018-03-30T00:00:00",984037.0,205508.0
6,"MANHATTAN","2016-12-22T00:00:00","14:00:00",584037993,"2017-01-05T00:00:00","09:00:00","COMPLETED",NULL,"N.Y. POLICE DEPT",109,40.738560221,-73.999683896,40.738560221,"FELONY",NULL,-73.999683896,"GRAND LARCENY",437.0,"LARCENY\,GRAND BY FALSE PROMISE-IN PERSON CONTACT","STREET","2018-03-29T00:00:00",984338.0,208351.0
28,"MANHATTAN","2016-10-07T00:00:00","00:01:00",469272106,"2016-10-31T00:00:00","23:59:00","COMPLETED",NULL,"N.Y. POLICE DEPT",233,40.808749904,-73.952585806,40.808749904,"MISDEMEANOR","INSIDE",-73.952585806,"SEX CRIMES",175.0,"SEXUAL ABUSE 3\,2","RESIDENCE - APT. HOUSE","2018-03-27T00:00:00",997376.0,233927.0
14,"MANHATTAN","2016-06-01T00:00:00","00:01:00",922995246,"2016-09-25T00:00:00","23:59:00","COMPLETED",NULL,"N.Y. POLICE DEPT",109,40.757588785,-73.986591894,40.757588785,"FELONY","FRONT OF",-73.986591894,"GRAND LARCENY",437.0,"LARCENY\,GRAND BY FALSE PROMISE-IN PERSON CONTACT","STREET","2018-03-27T00:00:00",987965.0,215284.0
13,"MANHATTAN","2016-09-09T00:00:00","12:00:00",956081621,NULL,NULL,"COMPLETED",NULL,"N.Y. POLICE DEPT",578,40.738834251,-73.98986141,40.738834251,"VIOLATION","INSIDE",-73.98986141,"HARRASSMENT 2",638.0,"HARASSMENT\,SUBD 3\,4\,5","COMMERCIAL BUILDING","2018-03-26T00:00:00",987060.0,208451.0
19,"MANHATTAN","2016-03-23T00:00:00","20:20:00",435613200,"2018-03-23T00:00:00","20:26:00","COMPLETED",NULL,"N.Y. POLICE DEPT",578,40.768652643,-73.953914012,40.768652643,"VIOLATION","INSIDE",-73.953914012,"HARRASSMENT 2",637.0,"HARASSMENT\,SUBD 1\,CIVILIAN","TAXI (YELLOW LICENSED)","2018-03-23T00:00:00",997016.0,219318.0
5,"MANHATTAN","2016-09-06T00:00:00","12:00:00",989656396,"2016-09-22T00:00:00","15:30:00","COMPLETED",NULL,"N.Y. TRANSIT POLICE",121,40.713143696,-74.004059506,40.713143696,"FELONY",NULL,-74.004059506,"CRIMINAL MISCHIEF & RELATED OF",268.0,"CRIMINAL MIS 2 & 3","TRANSIT FACILITY (OTHER)","2018-03-22T00:00:00",983125.0,199091.0
19,"MANHATTAN","2016-06-01T00:00:00","08:00:00",500248369,"2018-03-22T00:00:00","12:00:00","COMPLETED",NULL,"N.Y. POLICE DEPT",109,40.774077348,-73.964813863,40.774077348,"FELONY","INSIDE",-73.964813863,"GRAND LARCENY",407.0,"LARCENY\,GRAND BY DISHONEST EMP","RESIDENCE - APT. HOUSE","2018-03-22T00:00:00",993996.0,221293.0
32,"MANHATTAN","2016-02-09T00:00:00","12:00:00",539064060,"2016-02-13T00:00:00","20:00:00","COMPLETED",NULL,"N.Y. HOUSING POLICE",104,40.815732053,-73.945420411,40.815732053,"FELONY","INSIDE",-73.945420411,"RAPE",157.0,"RAPE 1","RESIDENCE - PUBLIC HOUSING","2018-03-22T00:00:00",999358.0,236472.0
17,"MANHATTAN","2016-09-01T00:00:00","16:00:00",800913042,NULL,NULL,"COMPLETED",NULL,"N.Y. POLICE DEPT",112,40.75063599,-73.970110103,40.75063599,"FELONY","OPPOSITE OF",-73.970110103,"THEFT-FRAUD",739.0,"FRAUD\,UNCLASSIFIED-FELONY","STREET","2018-03-21T00:00:00",992532.0,212752.0
34,"MANHATTAN","2016-12-20T00:00:00","00:01:00",775120794,"2016-12-20T00:00:00","23:59:00","COMPLETED",NULL,"N.Y. POLICE DEPT",233,40.851487774,-73.935457967,40.851487774,"MISDEMEANOR","INSIDE",-73.935457967,"SEX CRIMES",170.0,"SEXUAL MISCONDUCT\,INTERCOURSE","RESIDENCE - APT. HOUSE","2018-03-20T00:00:00",1002106.0,249501.0
34,"MANHATTAN","2016-11-01T00:00:00","00:00:00",340703673,"2016-11-01T00:00:00","23:59:00","COMPLETED",NULL,"N.Y. POLICE DEPT",109,40.863003221,-73.924253843,40.863003221,"FELONY","INSIDE",-73.924253843,"GRAND LARCENY",422.0,"LARCENY\,GRAND BY OPEN CREDIT CARD (NEW ACCT)","RESIDENCE - APT. HOUSE","2018-03-20T00:00:00",1005202.0,253699.0
20,"MANHATTAN","2016-04-11T00:00:00","00:00:00",662400916,"2016-04-11T00:00:00","23:59:00","ATTEMPTED",NULL,"N.Y. POLICE DEPT",340,40.775230406,-73.976684667,40.775230406,"MISDEMEANOR","INSIDE",-73.976684667,"FRAUDS",718.0,"FRAUD\,UNCLASSIFIED-MISDEMEANOR","RESIDENCE - APT. HOUSE","2018-03-20T00:00:00",990708.0,221712.0
23,"MANHATTAN","2016-12-01T00:00:00","09:00:00",723730997,NULL,NULL,"COMPLETED","JOHNSON","N.Y. HOUSING POLICE",112,40.797088584,-73.94274858,40.797088584,"FELONY","INSIDE",-73.94274858,"THEFT-FRAUD",739.0,"FRAUD\,UNCLASSIFIED-FELONY","RESIDENCE - PUBLIC HOUSING","2018-03-19T00:00:00",1000102.0,229680.0
34,"MANHATTAN","2016-07-01T00:00:00","08:00:00",980268220,"2016-07-31T00:00:00","20:00:00","COMPLETED",NULL,"N.Y. POLICE DEPT",109,40.854761099,-73.933510004,40.854761099,"FELONY","INSIDE",-73.933510004,"GRAND LARCENY",432.0,"LARCENY\,GRAND BY IDENTITY THEFT-UNCLASSIFIED","RESIDENCE - APT. HOUSE","2018-03-17T00:00:00",1002644.0,250694.0
